nr,company,location_hq,region,usstate,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in__mil,year,latitude,longitude
1,Tamara Mellon,Los Angeles,,California,USA,North America,20.0,12.03.20,40,50.0,30.0,Retail,Series C,90,2020,"34,0536909","-118,242766"
2,HopSkipDrive,Los Angeles,,California,USA,North America,8.0,13.03.20,10,80.0,72.0,Transportation,Unknown,45,2020,"34,0536909","-118,242766"
3,Panda Squad,San Francisco,San Francisco Bay Area,California,USA,North America,6.0,13.03.20,75,8.0,2.0,Consumer,Seed,1,2020,"37,7792588","-122,4193286"
4,Help.com,Austin,,Texas,USA,North America,16.0,16.03.20,100,16.0,,Support,Seed,6,2020,"30,2711286","-97,7436995"
5,Inspirato,Denver,,Colorado,USA,North America,130.0,16.03.20,22,591.0,461.0,Travel,Series C,79,2020,"39,7392364","-104,984862"
6,Flytedesk,Boulder,,Colorado,USA,North America,4.0,18.03.20,20,20.0,16.0,Marketing,Seed,4,2020,"40,0149856","-105,270545"
7,Remote Year,Chicago,,Illinois,USA,North America,50.0,19.03.20,50,100.0,50.0,Travel,Series B,17,2020,"41,8755616","-87,6244212"
8,CTO.ai,Vancouver,,,Canada,North America,30.0,20.03.20,50,60.0,30.0,Infrastructure,Seed,7,2020,"49,2608724","-123,113952"
9,Flywheel Sports,New York City,,New York,USA,North America,784.0,20.03.20,98,800.0,16.0,Fitness,Acquired,120,2020,"40,7127281","-74,0060152"
10,Compass,New York City,,New York,USA,North America,375.0,23.03.20,15,2500.0,2125.0,Real Estate,Series G,1600,2020,"40,7127281","-74,0060152"
11,Convene,New York City,,New York,USA,North America,150.0,23.03.20,18,833.0,683.0,Real Estate,Series D,280,2020,"40,7127281","-74,0060152"
12,GrayMeta,Los Angeles,,California,USA,North America,20.0,23.03.20,40,50.0,30.0,Data,Unknown,7,2020,"34,0536909","-118,242766"
13,Ladder Life,Palo Alto,San Francisco Bay Area,California,USA,North America,13.0,23.03.20,25,52.0,39.0,Finance,Series C,94,2020,"37,4443293","-122,1598465"
14,Leafly,Seattle,,Washington,USA,North America,91.0,23.03.20,50,182.0,91.0,Retail,Acquired,2,2020,"47,6038321","-122,330062"
15,The Guild,Austin,,Texas,USA,North America,38.0,23.03.20,22,173.0,135.0,Travel,Series B,36,2020,"30,2711286","-97,7436995"
16,Triplebyte,San Francisco,San Francisco Bay Area,California,USA,North America,15.0,23.03.20,17,88.0,73.0,HR,Series B,48,2020,"37,7792588","-122,4193286"
17,Foodsby,Minneapolis,,Minnesota,USA,North America,87.0,24.03.20,67,130.0,43.0,Food,Series B,20,2020,"44,9772995","-93,2654692"
18,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,400.0,24.03.20,33,1212.0,812.0,Travel,Series D,359,2020,"37,7792588","-122,4193286"
19,Zeus Living,San Francisco,San Francisco Bay Area,California,USA,North America,80.0,24.03.20,30,267.0,187.0,Real Estate,Series B,79,2020,"37,7792588","-122,4193286"
20,Jama,Portland,,Oregon,USA,North America,12.0,25.03.20,5,240.0,228.0,Product,Unknown,233,2020,"45,5202471","-122,674194"
21,OutboundEngine,Austin,,Texas,USA,North America,52.0,25.03.20,28,186.0,134.0,Marketing,Series C,48,2020,"30,2711286","-97,7436995"
22,Overtime,New York City,,New York,USA,North America,30.0,25.03.20,23,130.0,100.0,Media,Series B,35,2020,"40,7127281","-74,0060152"
23,TripActions,Palo Alto,San Francisco Bay Area,California,USA,North America,300.0,25.03.20,25,1200.0,900.0,Travel,Series D,,2020,"37,4443293","-122,1598465"
24,WanderJaunt,San Francisco,San Francisco Bay Area,California,USA,North America,56.0,25.03.20,23,243.0,187.0,Travel,Series B,26,2020,"37,7792588","-122,4193286"
25,Wonderschool,San Francisco,San Francisco Bay Area,California,USA,North America,50.0,25.03.20,75,67.0,17.0,Education,Series A,24,2020,"37,7792588","-122,4193286"
26,B8ta,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,26.03.20,50,500.0,250.0,Retail,Series C,88,2020,"37,7792588","-122,4193286"
27,Consider.co,Mountain View,San Francisco Bay Area,California,USA,North America,13.0,26.03.20,100,13.0,,Other,Seed,5,2020,"37,3893889","-122,0832101"
28,Ecobee,Toronto,,,Canada,North America,47.0,26.03.20,10,470.0,423.0,Energy,Series C,149,2020,"43,6534817","-79,3839347"
29,GoSpotCheck,Denver,,Colorado,USA,North America,23.0,26.03.20,20,115.0,92.0,Retail,Series B,47,2020,"39,7392364","-104,984862"
30,Peerspace,San Francisco,San Francisco Bay Area,California,USA,North America,41.0,26.03.20,75,55.0,14.0,Real Estate,Series B,34,2020,"37,7792588","-122,4193286"
31,Puppet,Portland,,Oregon,USA,North America,50.0,26.03.20,10,500.0,450.0,Infrastructure,Series F,149,2020,"45,5202471","-122,674194"
32,Bench,Vancouver,,,Canada,North America,47.0,27.03.20,10,470.0,423.0,Finance,Series B,49,2020,"49,2608724","-123,113952"
33,Bevi,Boston,,Massachusetts,USA,North America,30.0,27.03.20,20,150.0,120.0,Food,Series C,60,2020,"42,3554334","-71,060511"
34,Bird,Los Angeles,,California,USA,North America,406.0,27.03.20,30,1353.0,947.0,Transportation,Series D,623,2020,"34,0536909","-118,242766"
35,Blueground,New York City,,New York,USA,North America,130.0,27.03.20,25,520.0,390.0,Real Estate,Series B,77,2020,"40,7127281","-74,0060152"
36,DataRobot,Boston,,Massachusetts,USA,North America,200.0,27.03.20,"16,7",1200.0,1000.0,Data,Series E,430,2020,"42,3554334","-71,060511"
37,Getaround,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,27.03.20,25,400.0,300.0,Transportation,Series D,403,2020,"37,7792588","-122,4193286"
38,HOOQ,Singapore,,,Singapore,Asia,250.0,27.03.20,100,250.0,,Consumer,Unknown,95,2020,"1,2899175","103,8519072"
39,Knotel,New York City,,New York,USA,North America,127.0,27.03.20,30,423.0,296.0,Real Estate,Series C,560,2020,"40,7127281","-74,0060152"
40,Mogo,Vancouver,,,Canada,North America,78.0,27.03.20,30,260.0,182.0,Finance,Post-IPO,201,2020,"49,2608724","-123,113952"
41,OneWeb,London,,,UK,Europe,451.0,27.03.20,85,531.0,80.0,Aerospace,Unknown,,2020,"51,4893335","-0,144055085"
